location,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Wind Gust,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Shortwave Radiation
unit,°C,km/h,%,%,%,%,W/m²
level,2 m elevation corrected,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Wind Gust,Basel Cloud Cover Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Basel Shortwave Radiation
20240101T0000,6.5302453,34.56,73.0,79.0,20.0,73.0,0.0
20240101T0100,6.2402453,35.28,73.0,60.0,59.0,73.0,0.0
20240101T0200,6.210245,41.039997,84.0,3.0,39.0,84.0,0.0
20240101T0300,6.170245,40.32,74.0,0.0,11.0,74.0,0.0
20240101T0400,6.1602454,36.719997,50.0,2.0,19.0,50.0,0.0
20240101T0500,6.130245,35.64,53.0,0.0,19.0,53.0,0.0
20240101T0600,6.020245,34.56,41.0,0.0,12.0,41.0,0.0
20240101T0700,6.040245,37.079998,39.0,2.0,12.0,39.0,0.0
20240101T0800,6.290245,36.36,44.0,82.0,22.0,44.0,9.0
20240101T0900,6.8402452,34.56,42.0,73.0,15.0,42.0,76.0
20240101T1000,7.4302454,36.0,52.0,68.0,41.0,52.0,137.0
20240101T1100,8.080246,36.719997,68.0,82.0,68.0,66.0,217.0
20240101T1200,8.210245,44.639996,53.0,89.0,53.0,49.0,220.0
20240101T1300,8.190246,39.96,41.0,90.0,41.0,21.0,196.0
20240101T1400,8.290245,34.2,27.0,66.0,22.0,27.0,128.0
20240101T1500,8.080246,29.16,24.0,31.0,24.0,19.0,78.0
20240101T1600,7.0102453,24.48,36.0,24.0,36.0,16.0,15.0
20240101T1700,5.7202454,21.96,40.0,27.0,40.0,10.0,0.0
20240101T1800,5.2602453,21.599998,30.000002,100.0,21.0,24.0,0.0
20240101T1900,5.420245,20.880001,30.000002,100.0,14.0,15.0,0.0
20240101T2000,5.110245,22.319998,30.000002,100.0,20.0,23.0,0.0
20240101T2100,5.3102455,23.4,30.000002,100.0,20.0,24.0,0.0
20240101T2200,5.6002455,24.48,56.0,100.0,56.0,36.0,0.0
20240101T2300,5.8302455,25.56,96.0,100.0,96.0,47.0,0.0
20240102T0000,6.1602454,27.359999,99.0,100.0,99.0,34.0,0.0
20240102T0100,6.6402454,31.319998,99.0,100.0,99.0,74.0,0.0
20240102T0200,7.3502455,36.36,100.0,100.0,100.0,66.0,0.0
20240102T0300,7.5702453,41.760002,100.0,100.0,100.0,79.0,0.0
20240102T0400,7.7202454,46.8,100.0,100.0,100.0,79.0,0.0
20240102T0500,7.960245,51.48,100.0,100.0,100.0,65.0,0.0
20240102T0600,8.350245,54.36,98.0,100.0,98.0,63.0,0.0
20240102T0700,8.590245,55.44,97.0,100.0,97.0,81.0,0.0
20240102T0800,8.820246,56.16,96.0,100.0,96.0,89.0,2.0
20240102T0900,9.110246,56.16,98.0,99.0,98.0,90.0,15.0
20240102T1000,9.270246,55.8,100.0,100.0,100.0,100.0,33.0
20240102T1100,9.8102455,54.719997,98.0,100.0,98.0,94.0,68.0
20240102T1200,9.890245,54.36,100.0,100.0,100.0,98.0,70.0
20240102T1300,9.820246,55.8,100.0,100.0,100.0,99.0,48.0
20240102T1400,9.690246,56.88,99.0,100.0,99.0,99.0,38.0
20240102T1500,9.670245,56.519997,100.0,100.0,100.0,97.0,22.0
20240102T1600,9.740245,59.039997,100.0,100.0,100.0,97.0,3.0
